Datetime,LOAD_CAPITL_t-22,LOAD_CAPITL_t-23,LOAD_CAPITL_t-24,LOAD_CENTRL_t-23,LOAD_CENTRL_t-24,LOAD_DUNWOD_t-24,LOAD_GENESE_t-22,LOAD_GENESE_t-23,LOAD_GENESE_t-24,LOAD_LONGIL_t-18,LOAD_LONGIL_t-19,LOAD_LONGIL_t-20,LOAD_LONGIL_t-21,LOAD_LONGIL_t-22,LOAD_LONGIL_t-23,LOAD_LONGIL_t-24,LOAD_MHK VL_t-24,LOAD_N.Y.C._t-22,LOAD_N.Y.C._t-23,LOAD_N.Y.C._t-24,temp_GENESE_t-24,temp_WEST_t-23,last_week_mean_LONGIL_t-21,is_weekend_0,is_weekend_1
4/1/18,1243.883333,1179.625,1108.691667,1719.2583329999998,1603.6,562.9166667000002,1045.258333,989.3166667000003,918.3583333,1910.041667,2026.491667,2176.216667,2268.666667,2225.916667,2122.091667,1978.641667,762.1833333,5273.366667,5123.208333,4905.133333,10.6,10.0,2051.007651000001,0,1
4/2/18,1248.116667,1179.083333,1105.125,1758.5833329999994,1678.525,540.725,1036.533333,985.1833332999997,936.775,1806.4,1861.841667,2001.308333,2131.566667,2095.558333,1994.325,1864.05,774.6333333,5245.233333,5086.5333329999985,4807.758333,2.2,0.0,2030.650508,1,0
4/3/18,1355.475,1266.716667,1173.108333,1754.2583329999998,1635.275,571.8916667000002,1119.491667,1042.791667,978.0833332999997,2247.225,2317.816667,2447.75,2484.733333,2402.266667000001,2221.825,2045.458333,822.6666667000003,5852.083333,5542.816667,5183.2166670000015,6.1,2.8,2033.599899,1,0
4/4/18,1385.908333,1280.083333,1191.221429,1821.058333,1676.035714,577.3357143,1130.683333,1052.675,969.4785714,2477.016667000001,2510.3,2540.266667000001,2506.566667,2370.166667,2176.583333,1991.3,800.7357142999997,5876.458333,5545.9083329999985,5152.864286,6.1,6.1,2042.357346,1,0
4/5/18,1339.8,1227.066667,1141.916667,1889.916667,1793.775,583.7583333,1169.216667,1089.391667,1016.175,2227.291667,2273.15,2383.1,2460.533333,2366.758333,2211.133333,2035.825,859.3166667000003,5777.333333,5503.133333,5149.483333,0.6,0.6,2041.679058,1,0
4/6/18,1437.491667,1346.033333,1246.683333,1943.5666670000005,1837.766667,589.175,1186.641667,1111.166667,1037.225,2167.625,2260.35,2404.083333,2481.35,2391.008333,2227.866667,2056.25,875.0416667000003,5861.858333,5587.833333,5215.133333,0.0,-1.1,2040.689468,1,0
4/7/18,1371.914286,1285.808333,1203.178571,1874.333333,1783.478571,568.2285714,1137.392857,1069.675,1010.435714,2134.316667,2237.675,2351.291667,2387.266667000001,2285.514286,2145.825,1982.142857,892.2285714,5579.271429,5341.558333,5053.092857,5.6,2.2,2059.862576,0,1
4/8/18,1355.116667,1296.383333,1227.491667,1861.875,1796.266667,587.775,1116.85,1062.541667,1003.258333,2062.608333,2132.225,2226.583333,2285.3,2224.8,2113.391667000001,1978.65,853.0083332999999,5378.883333,5243.975,5025.9083329999985,0.6,-1.7,2073.291631,0,1
4/9/18,1413.783333,1309.9,1222.458333,1915.091667,1818.183333,591.3083333,1144.266667,1077.583333,1018.733333,2048.783333,2159.566667,2300.516667000001,2400.65,2317.241667,2161.975,1988.875,868.5333332999999,5571.666667,5363.5,5028.0,-1.1,0.6,2083.08305,1,0
4/10/18,1404.166667,1306.233333,1209.833333,1923.125,1821.808333,560.7583333,1171.058333,1086.733333,1011.208333,2217.541667,2355.158333,2475.516667000001,2512.325,2389.016667000001,2182.283333,1972.366667,829.4416667,5857.525,5521.991667,5112.358333,2.8,2.2,2077.235119,1,0
4/11/18,1435.25,1332.383333,1234.075,1874.741667,1759.925,574.5666667,1155.4,1077.833333,1008.716667,2206.166667,2295.358333,2394.141667000001,2479.708333,2382.816667,2189.483333,1993.333333,876.275,5826.833333,5487.166667,5082.983333,3.3,3.3,2063.075985,1,0
4/12/18,1417.191667,1311.692857,1202.891667,1825.907143,1679.966667,563.7083332999998,1138.125,1059.564286,987.2416667,2130.3,2220.233333,2337.508333,2456.275,2347.641667000001,2161.385714,1948.4416670000005,832.7916667000003,5769.325,5461.185714,5023.416667,6.1,3.9,2052.16538,1,0
4/13/18,1400.85,1294.733333,1186.183333,1754.983333,1626.758333,560.85,1105.266667,1014.666667,942.3166667000003,2162.241667,2281.333333,2353.65,2399.208333,2299.241667,2102.7,1904.9,809.8416667,5647.433333,5321.2,4923.816667,11.1,13.9,2042.969504,1,0
4/14/18,1305.866667,1222.733333,1132.433333,1718.716667,1612.425,543.9083333,1082.041667,1004.933333,941.8166667000003,2056.558333,2129.266667000001,2213.141667000001,2273.083333,2189.65,2035.5666670000005,1864.958333,751.075,5596.383333,5362.5916670000015,5016.241667,10.0,8.3,2014.3253,0,1
4/15/18,1336.225,1261.816667,1183.133333,1771.8333329999994,1684.341667,529.3916667,1127.875,1067.416667,998.3666667,1948.483333,2026.5,2119.225,2168.775,2101.908333,1978.375,1835.5,730.2583333,5187.208333,5006.616667,4759.416667,0.6,-1.1,1992.019964,0,1
4/16/18,1377.0,1284.008333,1195.225,1841.6916670000005,1708.75,552.875,1107.725,1037.008333,973.7333333,2331.675,2399.125,2460.775,2448.991667,2336.316667,2162.375,1978.608333,782.375,5519.975,5260.65,4924.1583329999985,5.0,1.1,1999.559151,1,0
4/17/18,1350.991667,1240.725,1148.458333,1828.425,1701.375,553.8833333,1215.875,1123.091667,1044.908333,2153.958333,2254.316667,2343.725,2420.825,2313.4,2114.258333,1908.0666670000005,771.1666667000003,5714.791667,5389.141667,4978.125,3.9,0.6,2006.291054,1,0
4/18/18,1392.75,1275.258333,1187.336364,1879.991667,1772.345455,569.7272727000002,1209.883333,1122.05,1042.3,2331.883333,2409.658333,2478.375,2505.233333,2384.133333,2178.725,1974.445455,816.6363636,5844.291667,5490.45,5098.563636,0.6,-0.6,1998.194534,1,0
4/19/18,1372.291667,1254.858333,1162.4,1824.675,1714.825,518.7666667,1176.166667,1091.783333,1015.0,2090.258333,2177.333333,2273.025,2399.8,2309.425,2137.15,1920.116667,764.3083333,5689.291667,5365.65,4989.5,3.3,1.7,1997.992456,1,0
4/20/18,1395.708333,1292.516667,1190.2,1891.4416670000005,1736.95,574.4666667,1221.0,1134.466667,1052.591667,2348.791667,2400.716667,2444.066667,2509.5,2411.858333,2232.533333,2026.208333,817.65,5792.183333,5475.9,5114.416667,0.0,2.2,2012.447409,1,0
4/21/18,1366.285714,1279.8,1196.55,1793.733333,1689.9583329999994,566.9666667,1101.6214289999998,1040.775,967.0,2037.2,2135.45,2244.233333,2366.333333,2308.035714,2181.375,2019.3166670000005,813.4,5656.278571,5402.683333,5078.525,6.1,5.0,2021.57051,0,1
4/22/18,1263.358333,1202.541667,1128.683333,1632.025,1553.358333,546.875,1000.591667,951.175,898.3833332999999,1893.85,1964.891667,2062.975,2172.816667,2126.466667,2036.733333,1880.391667,714.8666667,5198.725,5028.191667,4793.5,11.1,9.4,2030.358634,0,1
